edge_idx,source,source_role,relationship,edge_rank,target,target_role,year,url
1234,Richard Heines,tbd,mentioned_in,3,UFO's: investigating the unknown (NatGeo),documentary,2025,https://www.youtube.com/watch?v=1WwGGuQljl4
1239,Robert Jamison,tbd,mentioned_in,3,UFO's: investigating the unknown (NatGeo),documentary,2025,https://www.youtube.com/watch?v=1WwGGuQljl4
1170,John Lear,author,mentions,3,Leonard Stringfield,tbd,0,The UFO Reporter Part 2: The Files of George Knapp | NewsNation Prime
1130,Jay Stratton,scientist,read,1,George Knapp,author,2006,
1181,Kenneth Arnold,military,reported,1,start,tbd,1947,
1141,Jesse Marcel,military,researched,1,Roswell,place,1947,
1077,Garry Nolan,scientist,treated,1,Jacob Barber,military,0,
1229,Richard Dolan,author,wrote_about,3,Leonard Stringfield,tbd,0,
1189,Leslie Kean,author,wrote_about,1,Lue Elizondo,whistleblower,2017,
1087,George Knapp,author,wrote_about,1,SWR,place,1996,
1064,Donald Keyhoe,military,wrote_about,1,start,tbd,1950,
1075,Frank Scully,tbd,wrote_about,1,start,tbd,1950,
1100,Gerald Heard,tbd,wrote_about,1,start,tbd,1950,
1320,Matthew Brown,whistleblower,briefed,1,Congress,government,2025,
1321,Chaz King,military,briefed,1,Congress,government,2025,
1322,Jacob Barber,military,briefed,1,Congress,government,2026,
1323,Tim Gallaudet,military,briefed,1,Congress,government,2025,
1324,Michael Herrera,whistleblower,briefed,1,Congress,government,,
1325,George Knapp,author,briefed,1,Congress,government,,
